"path.to.input","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright","e"
"input/C/",6.1,11,247.2,2,1.9,1493,697,572,91.43
"input/C/",6.3,51,189.9,2,5.4,1078,697,523,69.69
"input/C/",8.4,55,337.3,1,0.2,377,697,284,89.08
"input/C/",8.3,52,156.2,1,2,363,697,281,88.61
"input/C/",10.2,42,85.9,2,1.5,1274,697,566,74.12
"input/C/",13.1,42,4.1,2,4.3,980,697,425,97.29
"input/C/",8.5,15,106.7,2,0.8,1487,697,605,80.5
"input/C/",6.2,32,105.4,2,2,1205,697,581,63.68
"input/C/",6.9,12,236,1,1.3,442,697,312,82.53
"input/C/",10,56,117,2,2.6,1150,697,554,66.7
"input/C/",10.1,16,257.9,1,0.2,436,697,272,108.27
"input/C/",12.3,24,180.8,1,4.5,410,697,271,104.24
"input/C/",8.6,34,269.6,2,3.8,1285,697,562,76.33
"input/C/",8.6,56,307.6,1,1.4,374,697,267,100.56
"input/C/",13.2,8,219.8,2,1.1,1810,697,562,123.04
