"path.to.input","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"input/B/",4,28.7,4,12,307,4.8,12.6,0,0,0,0,0,3560,506.31,1021.57,6591.98,578.04,1337.98,0
"input/B/",5.7,54.5,6,41,172,3.5,11,0,0,0,0,0,5820,688.36,771.89,7428.64,231.77,1511.52,0
"input/B/",1.4,37.2,19,24,74.8,0.3,9.6,6.19,1595,7.07,56.05,6.04,3005,292.23,517.25,5394.4,255.26,569.38,2
"input/B/",3.3,79.8,5,22,218.7,1.8,12.1,14.25,4240,45.28,224.04,23.63,7385,731.19,810.17,8131.49,171.77,1544.45,3
"input/B/",4.5,78.6,20,37,244.5,1.5,13.8,0,0,0,0,0,2765,699.79,1366.11,5032.46,680.46,1559.52,0
"input/B/",2.2,70.7,19,32,127.2,2.4,7.3,20.26,1065,7.07,22.88,5.41,2095,191.59,275.97,3181.83,107.2,949.12,5
"input/B/",3.6,78.1,11,25,91.5,2.5,12.9,4.5,2745,7.07,132.12,7.07,5735,734.53,846.41,6690.47,192.49,870.19,1
"input/B/",3.1,87.8,20,52,346.8,4,7.2,15.16,795,5,24.53,5,1965,258.97,465.06,3107.76,223.46,822.6,3
"input/B/",3.5,18.9,18,20,317.9,4.4,13.8,0,0,0,0,0,5625,634.51,692.34,6359.12,487.8,1552.39,0
"input/B/",3.7,15.5,0,49,171.9,2.4,13.4,0,0,0,0,0,6090,594.83,934.28,10217.32,502.1,1560.5,0
"input/B/",5.6,30.4,2,38,49.2,5.4,8.5,4.51,1080,7.07,38.72,7.07,2865,291,523.01,4627.49,288.61,660.5,1
"input/B/",3.5,85.8,16,45,84.2,1.9,6.4,14.96,1905,5,23.34,5,5275,183.63,186.8,5453.02,53.63,968,3
"input/B/",4.7,9.8,0,15,302,4.9,13.8,0,0,0,0,0,4165,512.08,1073.64,7788.3,629.81,1337.44,0
