"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-SA.nlogo"
"C"
"02/03/2021 16:01:52:882 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","seed","path-to-input","generations","[step]","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"89","17","input/C/","1","7950","5.9","28.4","9","35","184.2","1.9","6.3","38.355945730247406","1570","26.93","21.2","12.25","2980","40.03321099302995","53.03155878701979","3755.509021515605","31.100014728332095","1785.2871227650994","53"
"88","17","input/C/","1","4433","2.5","69","12","17","327.4","2.9","7.2","57.47317795042546","1039.36","58.31","28.51","25.07","3260","56.35337772261099","81.01361459933446","4482.223666214806","39.8644179929754","1496.6544689508303","128"
"92","17","input/C/","1","7651","3.8","73.3","5","34","74.2","2.4","6.5","39.92910519256563","1010","36.06","23","16.82","3580","43.573509685817164","55.92419072003396","4516.619115298661","30.68396661871685","1255.0570924637323","71"
"82","17","input/C/","1","8347","2.7","4.1","0","36","184.4","2.1","12.9","0","0","0","0","0","3440","286.70934772622877","372.93645178903125","5174.7738875901905","235.72263653439947","1998.2575183962902","0"
"90","17","input/C/","1","5568","5","76.9","10","23","108","4.7","12.8","10.233912533170034","1965","100","53.66","30.12","3620","114.15585931911698","183.97017005616465","5297.129172769348","76.41576300321339","1345.5244767301383","9"
"91","17","input/C/","1","10975","3.7","38.5","23","50","68.3","2.7","7.7","24.620733652312598","640","38.08","20.09","12.78","2950","85.35521173236","154.77354560245874","5173.6026859697895","91.24911642619972","1777.7798412955815","30"
"94","17","input/C/","1","5671","0.4","7.7","7","23","280","4.1","7.8","53.91852929169219","2010","65","32.37","23.88","3610","72.29651752945249","113.3575152577633","6247.16323068832","66.7179060593497","1958.6850392118718","97"
"95","17","input/C/","1","10333","2.5","58.6","1","47","124.3","2.6","10","25.86831512363427","1520","25.5","27.28","8.87","3310","94.91703405533192","134.77786383763694","4440.397895478793","55.15784046408137","1274.6533318440556","24"
"81","17","input/C/","1","5348","1.3","1.2","4","22","122.1","3.2","13.1","0","0","0","0","0","2150","318.5803342639691","374.2326739581075","2523.3188047276653","298.1642670369412","2001.3366553794917","0"
"98","17","input/C/","1","5205","0.3","33.3","18","21","339.2","0.8","6.5","51.72577600938608","1115","58.31","23.46","23.42","3120","46.87557282064393","68.10125870643668","5006.792472159576","41.95186408956475","1565.7614742536607","105"
"97","17","input/C/","1","6564","4.5","84.9","17","27","302","2.3","8.8","52.41190699574294","720","45.28","29.41","20.35","3720.2838621781707","98.26452168996191","147.86430555265744","5131.9607912325955","61.23929465221739","1282.1696406087935","93"
"100","17","input/C/","1","9370","3.2","44.6","18","43","135.9","5.3","6.4","34.60969151752959","570","36.06","24.03","13.75","2075","37.79177515084707","57.92038069175251","3352.631797054314","29.318192357198633","1352.7303186359081","52"
"84","17","input/C/","1","7008","5.5","30.7","0","27","308.1","0.7","12.1","0","0","0","0","0","5480","299.17389472878017","351.169033763999","6239.296807768943","196.56149541685497","1910.4621080957088","0"
"96","17","input/C/","1","11849","1.2","26.5","17","54","241","2.5","11.5","10.644152955164346","2310","46.1","60.9","17.53","4020","190.83917979588188","309.85966074215634","6470.066843149402","154.13183596030046","2004.8568206628743","16"
"99","17","input/C/","1","2548","3.5","65.4","23","7","347.9","5.2","9.3","68.50267004830303","682.76","205.97","38.29","51.79","2900","88.33202471935746","165.22130749188733","5026.368176320173","88.5327911067507","1669.2253812354506","178"
"93","17","input/C/","1","9975","2.8","34.3","3","44","34.9","0.8","11.1","15.56904390916754","495","101.98","24.03","14.65","4285","309.1495829183276","550.3297521036766","7617.894010526936","291.64992541277445","1812.870913356482","11"
